dateOfSale,price,address,county,not_full_market
05/03/2016,"€285,000.00","10 WALSHS TERRACE, WOODQUAY, GALWAY",Louth,0
05/04/2016,"€325,991.19","110 Rampart View, Rahardrum, Virginia",Dublin,0
05/05/2016,"€340,000.00","111 Rampart View, Virginia",Cork,0
05/06/2016,"€220,000.00","114 HAMPTON WOOD RD, ST MARGARETS, DUBLIN 11",Galway,0
05/07/2016,"€215,000.00","12 RADHARC NA FHIAIGH  COOLCOTTS, WEXFORD, WEXFORD",Cork,0
05/08/2016,"€335,000.00","13 FERNLEIGH CRESCENT, CASTLEKNOCK, DUBLIN 15",Wexford,0
05/09/2016,"€383,259.00","13 KILMANTIN HILL, WICKLOW, WICKLOW",Meath,0
05/10/2016,"€145,000.00","14  Bridgefield Grove, Curraheen, Bishopstown",Westmeath,0
05/11/2016,"€302,000.00","14 MERCHANT SQ, EASTWALL, DUBLIN 3",Cork,0
05/12/2016,"€250,000.00","16 KNOCKALTON, NENAGH, TIPPERARY",Galway,0
05/02/2012,"€630,000.00","100 LOWER DRUMCONDRA ROAD, DUBLIN 9",Wexford,0
05/03/2012,"€260,000.00","108 MOUNTAIN VIEW DRIVE, BRAY, CO. WICKLOW",Waterford,0
05/04/2012,"€343,612.33","11 TOLKA RD, BALLYBOUGH, DUBLIN 3",Cork,0
05/05/2012,"€216,000.00","11 WOODVIEW CLOSE, WOODVIEW PARK, LIMERICK",Limerick,0
05/06/2012,"€275,428.00","12 Bushfield Drive, Clondalkin",Dublin,0
05/07/2012,"€300,000.00","14 CORNADARRAGH, BELTURBET, CO CAVAN",Clare,0
05/08/2012,"€370,000.00","15 NEW QUAY, CLONMEL, CO TIPPERARY",Dublin,0
05/09/2012,"€295,000.00","15 TARA LAWNS, KINNEGAD, CO WESTMEATH",Dublin,0
05/10/2012,"€252,000.00","15 YEWWOOD, YOUGHAL, CORK",Louth,0
05/11/2012,"€280,000.00","16 NEW QUAY, CLONMEL, TIPPERARY",Dublin,0
05/12/2012,"€880,000.00","18 ATHLUMNEY VILLAS, RANELAGH, DUBLIN 6",Dublin,0
05/01/2013,"€398,230.07","19 SHANNON LODGE, CARRICK ON SHANNON, LEITRIM",Westmeath,0
05/02/2013,"€343,612.33","2 Ossory Court, Borris In Ossory",Dublin,0
05/03/2013,"€216,000.00","27 THE GREENS, STATION RD, THOMASTOWN",Dublin,0
05/04/2013,"€275,428.00","28 ARBOR RD, LISDUGGAN, WATERFORD",Dublin,0
05/05/2013,"€300,000.00","29 Castlepark Square, Dunboyne Road, Maynooth",Donegal,0
05/06/2013,"€370,000.00","29 MOUNT SYMON LAWN, CLONSILLA, DUBLIN 15",Tipperary,0
05/07/2013,"€295,000.00","2A CLYDE LANE, BALLSBRIDGE, DUBLIN 4",Tipperary,0
05/08/2013,"€252,000.00","2B CLYDE LANE, BALLSBRIDGE, DUBLIN 4",Kildare,0
05/09/2013,"€280,000.00","3 KILLASSER ESTATE, SWINFORD, CO MAYO",Dublin,0
05/10/2013,"€880,000.00","3 Ossory Court, Borris in Ossory",Dublin,0
05/11/2013,"€398,230.07","32 BOROIMHE BEECH, SWORDS, CO DUBLIN",Galway,0
05/12/2013,"€315,000.00","35 LEALAND DR, BAWNOGUE, CLONDALKIN DUBLIN 22",Waterford,0
05/01/2014,"€655,000.00","37 Park Vale, Grange Rath, Drogheda",Sligo,0
05/02/2014,"€195,000.00","39 SARSFIELD GARDENS, MOYROSS, LIMERICK",Tipperary,0
05/03/2014,"€237,500.00","40 ST BEGNETS VILLAS, DALKEY, DUBLIN",Cork,0
05/04/2014,"€550,000.00","41 GROSVENOR PARK, RATHMINES, DUBLIN 6",Clare,0
05/05/2014,"€440,529.00","41 TOURNORE COURT, DUNGARVAN, WATERFORD",Limerick,0
05/06/2014,"€232,000.00","42 BEECHWOOD PARK, POLLERTON BIG, CARLOW",Tipperary,0
05/07/2014,"€475,000.00","42 Eastmoreland Court, Ballsbridge",Waterford,0
05/08/2014,"€325,000.00","42 WHITWORTH RD, DRUMCONDRA, DUBLIN 9",Cork,0
05/09/2014,"€596,000.00","43 CLONLEA, BALLINTEER, DUBLIN 16",Sligo,0
05/10/2014,"€525,000.00","485A Bluebell Avenue, Bluebell, Dublin 12",Cork,0
05/11/2014,"€315,000.00","49 Knightsbrook Crescent, Trim",Louth,0
05/12/2014,"€655,000.00","5 alderwood, hollystown, dublin 15",Wexford,0
05/01/2015,"€195,000.00","5 NORTONS AVE, PHIBSBOROUGH, DUBLIN 7",Louth,0
05/02/2015,"€237,500.00","5 WALNUT RISE, COURTLANDS, GRIFFITH AVE DUBLIN 9",Dublin,0
05/03/2015,"€232,000.00","50 HAZEL HILL DOWNES, BALLYHAUNIS, CO MAYO",Wicklow,0
05/04/2015,"€475,000.00","53 GRANGE RD, RATHFARNHAM, DUBLIN 14",Louth,0
05/05/2015,"€325,000.00","56 BRAEMOR RD, CHURCHTOWN, DUBLIN 14",Wexford,0
05/06/2015,"€596,000.00","6 ABBEY COURT, CLANE, KILDARE",Cork,0
05/07/2015,"€525,000.00","6 CASTLEMANOR CRESCENT, CASTLEMARTYR, CORK",Limerick,0
05/08/2015,"€615,000.00","6 DARGAN COURT, MEATH RD, BRAY",Cork,0
05/09/2015,"€682,819.00","63 BRIAN AVE, MARINO, DUBLIN 3",Carlow,0
05/10/2015,"€950,000.00","7 CLOUGHANVARY, JOHN ST, ARDEE",Cork,0
05/11/2015,"€320,010.00","8 LAUREL COURT, BELLFIELD, FERRYBANK",Wicklow,0
05/12/2015,"€343,612.33","9 CUIRT NA HEAGLAISE, DOUGLAS",Dublin,0
05/01/2016,"€216,000.00","9 the plains, ballinagare",Cork,0
05/02/2016,"€275,428.00","Apartment 410  Pier Head, Allin's Quay, Youghal",Cork,0
05/03/2016,"€300,000.00","Ballinacoola, Gorey",Dublin,0
05/04/2016,"€370,000.00","BALLINVOSKIG WEST, MALLOW, CORK",Laois,0
05/05/2016,"€295,000.00","BAWNMORE, ARDMAYLE, CASHEL",Cork,0
05/06/2016,"€252,000.00","BOFIELD, BALLINA, CO.MAYO",Dublin,0
05/07/2016,"€280,000.00","BOULEENSHEERE, BALLYHEIGUE, CO.KERRY",Cork,0
05/08/2016,"€880,000.00","CLONGOWNEY, OLD DUBLIN ROAD, MULLINGAR",Dublin,0
05/09/2016,"€398,230.07","Corglass, Milltown, Belturbet",Galway,0
05/10/2016,"€315,000.00","CRAFFIELD, AUGHRIM, WICKLOW",Cork,0
05/11/2016,"€655,000.00","DERRYGILE LODGE, DERRYGUILE, MOUNTMELLICK",Tipperary,0
05/12/2016,"€195,000.00","DERRYHERK, BALLYSHANNON, LEITRIM",Cork,0
05/01/2011,"€237,500.00","DREHID, CARBURY, KILDARE",Meath,0
05/02/2011,"€550,000.00","Drumdrishnaghaun, Belcarra, Castlebar",Kildare,0
05/03/2011,"€440,529.00","ELMVILLE, UPPER KILMACUD ROAD, DUBLIN 14",Clare,0
05/04/2011,"€232,000.00","GALROOSTOWN, TERMONFECKIN",Dublin,0
05/05/2011,"€475,000.00","IRRUS, REHY EAST, CARRIGAHOLT",Laois,0
05/06/2011,"€325,000.00","KILCOONEY, GEASHILL, CO OFFALY",Cork,0
05/07/2011,"€596,000.00","LAHERKEEN, KILDARE, KILDARE",Dublin,0
05/08/2011,"€525,000.00","MAIN ST, DAINGEAN, OFFALY",Cork,0
05/09/2011,"€232,000.00","MAIN ST, KILMACRENNAN, LETTERKENNY",Sligo,0
05/10/2011,"€475,000.00","MEENDERRY, FALCARRAGH, DONEGAL",Dublin,0
05/11/2011,"€325,000.00","no 2 Tully, Ballygar",Dublin,0
05/12/2011,"€596,000.00","No 4 Westmanstown Cottages, Lucan, County Dublin",Dublin,0
05/01/2012,"€525,000.00","No 7 Rosehill, Mullagh",Kildare,0
05/02/2012,"€315,000.00","NO 7 ROSSAOR COTTAGE, BALLYLIFFIN, CO DONEGAL",Dublin,0
05/03/2012,"€655,000.00","St. Anne's, Clonbrusk, Athlone",Dublin,0
05/04/2012,"€195,000.00","St. Anthony's, Ballycullen Road, Knockyon",Louth,0
05/05/2012,"€237,500.00","TUBRID, CREEVES CROSS, SHANAGOLDEN",Leitrim,0
05/06/2012,"€232,000.00","TULLIG, CAHERCIVEEN, KERRY",Cork,0
05/07/2012,"€475,000.00","1 & 2 Reed's Place, Off Barrack Street",Waterford,0
05/08/2012,"€325,000.00","10 ASHFIELD RD, RANELAGH, DUBLIN 6",Dublin,0
05/09/2012,"€596,000.00","10 SPRINGFIELD, CASTLEREA, ROSCOMMON",Dublin,0
05/10/2012,"€525,000.00","100 COIS ABHANN, CAHERWISHEEN, TRALEE",Dublin,0
05/11/2012,"€615,000.00","11 BLACKROCK AVE, EDEN, BLACKROCK",Kerry,0
05/12/2012,"€682,819.00","13 Saggart Lodge, court, Saggart",Dublin,0
